Sex	WeightClassKg	Best3SquatKg	Best3BenchKg	Best3DeadliftKg	Country	Date
M	100	242.5	175	290	USA	10/2/10
M	100	192.5	165	245	Canada	10/2/10
M	100	192.5	165	245	Canada	10/2/10
M	100	210	152.5	240	Canada	10/2/10
M	100	175	155	217.5	USA	10/2/10
M	100	160	145	225	USA	10/2/10
M	100	125	115	170	India	10/2/10
M	100	192.5	165	245	Canada	10/2/10
M	100	210	152.5	240	Canada	10/2/10
M	100	175	155	217.5	USA	10/2/10
M	100	160	145	225	USA	10/2/10
M	100	125	115	170	India	10/2/10
M	100	197.5	155	262.5	Canada	10/2/10
M	110	210	147.5	280	USA	10/2/10
M	110	230	150	272.5	USA	10/2/10
M	110	230	150	272.5	USA	10/2/10
M	110	192.5	140	250	USA	10/2/10
M	110	62.5	137.5	142.5	USA	10/2/10
M	110	62.5	137.5	142.5	USA	10/2/10
M	110	62.5	137.5	142.5	USA	10/2/10
M	125	247.5	187.5	260	USA	10/2/10
M	125	230	157.5	275	USA	10/2/10
M	125	195	160	227.5	USA	10/2/10
M	125	295	192.5	330	USA	10/2/10
M	125	295	212.5	277.5	USA	10/2/10
M	125	185	155	210	USA	10/2/10
M	125	185	155	210	USA	10/2/10
M	140	110	112.5	185	USA	10/2/10
M	140	272.5	200	270	USA	10/2/10
M	140	182.5	125	182.5	USA	10/2/10
M	140	182.5	125	182.5	USA	10/2/10
M	140	272.5	200	270	USA	10/2/10
M	140	182.5	125	182.5	USA	10/2/10
M	140+	115	72.5	145	USA	10/2/10
M	140	285	182.5	277.5	USA	10/2/10
M	140+	142.5	167.5	192.5	USA	10/2/10
M	140	285	182.5	277.5	USA	10/2/10
M	140+	142.5	167.5	192.5	USA	10/2/10
M	52	135	72.5	155	Iran	9/19/02
M	56	147.5	85	177.5	Iran	9/19/02
M	67.5	135	97.5	180	Russia	9/19/02
M	75	180	135	205	Iran	9/19/02
M	75	185	100	185	Spain	9/19/02
M	75	140	85	170	Lithuania	9/19/02
M	75	100	70	175	Spain	9/19/02
M	82.5	220	125	250	Czechia	9/19/02
M	82.5	140	122.5	205	USA	9/19/02
M	90	235	145	247.5	Russia	9/19/02
M	90	182.5	142.5	195	Canada	9/19/02
M	100	237.5	150	222.5	Austria	9/19/02
M	100	210	170	222.5	Russia	9/19/02
M	100	210	135	212.5	Russia	9/19/02
M	100	170	120	200	Lithuania	9/19/02
M	110	237.5	182.5	260	USA	9/19/02
M	110	192.5	142.5	182.5	USA	9/19/02
M	125	250	150	265	Australia	9/19/02
M	60	170	90	200	England	9/19/02
M	75	140	95	180	Russia	9/19/02
M	100	230	147.5	230	Iran	9/19/02
M	100	195	125	190	USA	9/19/02
M	110	200	130	205	Russia	9/19/02
M	125	235	150	240	Iran	9/19/02
M	125+	215	182.5	227.5	USA	9/19/02
M	52	75	72.5	117.5	USA	9/19/02
M	67.5	175	110	200	Iran	9/19/02
M	67.5	95	55	120	Czechia	9/19/02
M	75	105	85	155	USA	9/19/02
M	75	90	80	160	Nigeria	9/19/02
M	75	115	57.5	142.5	Czechia	9/19/02
M	82.5	240	145	245	Russia	9/19/02
M	90	162.5	132.5	215	Russia	9/19/02
M	90	145	105	170	Canada	9/19/02
M	100	130	110	200	Czechia	9/19/02
M	110	205	177.5	227.5	Canada	9/19/02
F	44	42.5	25	65	USA	9/19/02
F	56	60	45	85	Czechia	9/19/02
F	52	80	55	97.5	USA	9/19/02
F	67.5	80	45	100	Czechia	9/19/02
F	67.5	75	37.5	100	USA	9/19/02
F	67.5	35	20	60	Czechia	9/19/02
M	100	295	185	261	Russia	11/7/09
M	125+	280	180	240	Iran	11/7/09
M	100	180	110	210	USA	11/7/09
M	100	305	185	235	Iran	11/7/09
M	125	282.5	187.5	292.5	Trinidad and Tobago	11/7/09
M	110	262.5	215	252.5	Canada	11/7/09
M	110	227.5	160	227.5	USA	11/7/09
M	90	205	145	202.5	Venezuela	11/7/09
M	82.5	205	130	185	Venezuela	11/7/09
M	125	130	92.5	182.5	USA	11/7/09
M	90	280	187.5	250	Russia	11/7/09
M	90	277.5	190	245	Russia	11/7/09
M	90	205	145	202.5	Venezuela	11/7/09
M	100	295	185	261	Russia	11/7/09
M	100	305	185	235	Iran	11/7/09
M	100	260	197.5	260	Austria	11/7/09
M	100	215	207.5	215	USA	11/7/09
M	100	180	110	210	USA	11/7/09
M	110	300	240	260	Russia	11/7/09
M	110	312.5	207.5	255	Iran	11/7/09
M	110	262.5	215	252.5	Canada	11/7/09
M	110	227.5	160	227.5	USA	11/7/09
M	125	282.5	187.5	292.5	Trinidad and Tobago	11/7/09
M	125	240	215	240	Canada	11/7/09
M	125	130	92.5	182.5	USA	11/7/09
M	125+	340	245	300	Canada	11/7/09
M	125+	280	180	240	Iran	11/7/09
M	52	100	77.5	145	Iran	11/26/00
