c,Sex,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Country,Date
Sam Dew,M,81.9,82.5,240,150,250,Wales,11/2/13
Reece Meakin,M,81.3,82.5,212.5,157.5,257.5,England,11/2/13
Kevin Kavanagh,M,88.3,90,185,130,220,England,11/2/13
Jay Hollingsworth,M,122.5,125,272.5,200,320,England,11/2/13
Eddie White,M,80,82.5,182.5,125,272.5,USA,11/2/13
Stéphanie Lagrange,F,60.7,63,135,100,137.5,France,11/2/13
Paul Rutherford,M,67.2,67.5,192.5,120,200,Scotland,11/2/13
Ryan Rutherford,M,66.1,67.5,142.5,82.5,162.5,Scotland,11/2/13
Aaron Whoriskey,M,63.7,67.5,170,110,170,Ireland,11/2/13
Peter Beckette,M,74.6,75,190,165,195,USA,11/2/13
Indra Sudarminto,M,76.5,82.5,290.5,177.5,270,Belgium,11/2/13
Kenneth Taaffe,M,81.6,82.5,235,150,267.5,Ireland,11/2/13
Eddie White,M,80,82.5,182.5,125,272.5,USA,11/2/13
Eddie White,M,80,82.5,182.5,125,272.5,USA,11/2/13
Mick Amey,M,81.1,82.5,215.5,110,235,England,11/2/13
Scott McLone,M,75.5,82.5,200,105,200,Scotland,11/2/13
Cyrille Vaillant,M,88.3,90,303,186.5,265,France,11/2/13
William Brown #1,M,88.4,90,295,165,292.5,Scotland,11/2/13
Martin Theyssens,M,84.7,90,120,100,140,Belgium,11/2/13
Stephen Welch,M,99.5,100,262.5,167.5,245,USA,11/2/13
Alistair Donaldson,M,97.7,100,230,165,240,Scotland,11/2/13
Martin Cerins,M,108.1,110,290,220,260,England,11/2/13
Bogdan Krumov,M,101.1,110,60,60,207.5,Switzerland,11/2/13
Neil Elliott,M,122.5,125,280,240,302.5,Scotland,11/2/13
Leslie Pilling,M,118.8,125,250,120,250,England,11/2/13
Tomas Cuddihy,M,118.5,125,225,150,247.5,Ireland,11/2/13
Francesco Natalizi,M,123.2,125,230,100,210,Italy,11/2/13
Paul Wrenn,M,110.8,125,182.5,87.5,185,USA,11/2/13
Adam Sauberlich,M,125.1,145,260,185,230,Scotland,11/2/13
Hayley Rutherford,F,46.9,47.5,70,37.5,92.5,Scotland,11/2/13
Patricia Tombs,F,48,50.5,60,40,95.5,England,11/2/13
Bobbie Butters,F,52.3,53,120,65,140,England,11/2/13
Clare Connolly,F,51.9,53,75,47.5,105,Ireland,11/2/13
Cliona McParland,F,52.6,53,70,40,110,Ireland,11/2/13
Linh Nguyen #1,F,55.1,55.5,115.5,52.5,120,Ireland,11/2/13
Siobhan Hynes #1,F,55,55.5,80,55,105,Ireland,11/2/13
Lesley Laver,F,55.4,55.5,70,45,122.5,England,11/2/13
Pelin Baykal,F,58.1,58.5,102.5,62.5,145,England,11/2/13
Sue Bethell,F,55.7,58.5,85.5,45,145.5,Wales,11/2/13
Claire Fitzsimmons,F,57.1,58.5,102.5,37.5,122.5,Ireland,11/2/13
Carol Nulty,F,57.5,58.5,80,47.5,120,Ireland,11/2/13
Emer O'Driscoll,F,56.4,58.5,75,50,107.5,Ireland,11/2/13
Rebecca Penco,F,63,63,110,60,147.5,Ireland,11/2/13
Véronique Bourdon,F,62.2,63,100,70.5,140,France,11/2/13
Fionnula McHale,F,60.9,63,100,57.5,150,Ireland,11/2/13
Emma Scott,F,60.1,63,92.5,50,135,Ireland,11/2/13
Abigail Cronin,F,61.9,63,90,55,122.5,Ireland,11/2/13
Alex Williams #8,F,59.4,63,80,47.5,115,England,11/2/13
Jo Gaskin,F,66.9,70,118,65,155.5,Scotland,11/2/13
Angela Taylor #1,F,69.9,70,92.5,77.5,117.5,England,11/2/13
Angela Taylor #1,F,69.9,70,92.5,77.5,117.5,England,11/2/13
Kate Walker,F,69.3,70,60,45,95,USA,11/2/13
Shachar Head,F,77.2,80,145,75,170,England,11/2/13
Danielle Hayes,F,76.7,80,117.5,50,152.5,Ireland,11/2/13
Arlette Bomahou,F,103.1,90+,102.5,62.5,160,Ireland,11/2/13
Johnathon Wrenn,M,52.5,56,160,90,170,USA,11/2/13
Jacob Stagg,M,54.7,56,110,65,155,USA,11/2/13
Neil Cook #1,M,59.6,60,140,100,185,England,11/2/13
Neil Cook #1,M,59.6,60,140,100,185,England,11/2/13
Ted Brown,M,58.7,60,90,78,130,England,11/2/13
David Gray,M,66.1,67.5,196,137.5,250,England,11/2/13
Kris Boyce,M,65.4,67.5,170,122.5,215,UK,11/2/13
David Probert,M,66.8,67.5,155,100,205,England,11/2/13
Deividas Barisas,M,63.1,67.5,147.5,90,210,Ireland,11/2/13
Patrick Harvey,M,65,67.5,95,65,140,England,11/2/13
Bryan Kavanagh,M,74.6,75,200,135,235,UK,11/2/13
Luke Rogers #1,M,73.8,75,197.5,117.5,252.5,England,11/2/13
Diljeet Singh,M,73.7,75,187.5,117.5,245,England,11/2/13
Sean Ryan,M,74.6,75,182.5,135,217.5,Ireland,11/2/13
Raymond Butler,M,74.3,75,175,122.5,230,Ireland,11/2/13
Damien Monlezun,M,73.6,75,175,125,225,France,11/2/13
Chris Burns,M,73.8,75,160,115,240,Ireland,11/2/13
Michael Stagg,M,73.6,75,165,137.5,202.5,USA,11/2/13
Gareth Mackey,M,74,75,150,115,225,UK,11/2/13
Scott McSweeney,M,74.2,75,165,105,215,Ireland,11/2/13
Michal Marcinkowski,M,72.3,75,151.5,95,215,Canada,11/2/13
Derek Duggan,M,72.7,75,132.5,95,231,Ireland,11/2/13
Sammy Wesson,M,72.7,75,140,110,200,Ireland,11/2/13
Dessie Hughes,M,72,75,155,110,170,UK,11/2/13
Robert Herbst,M,73.1,75,130,117.5,187.5,USA,11/2/13
Henry Clarck,M,74.1,75,127.5,55,155,England,11/2/13
Trevor Harvey,M,72.4,75,90,60,140,Ireland,11/2/13
Sam Dew,M,81.9,82.5,240,150,250,Wales,11/2/13
Sam Dew,M,81.9,82.5,240,150,250,Wales,11/2/13
Rory Girvan,M,79.4,82.5,225,140,265,UK,11/2/13
Reece Meakin,M,81.3,82.5,212.5,157.5,257.5,England,11/2/13
Reece Meakin,M,81.3,82.5,212.5,157.5,257.5,England,11/2/13
John Ryan #4,M,82.3,82.5,230,130,260,Ireland,11/2/13
Barry Pigott,M,81.5,82.5,202.5,155,250,Ireland,11/2/13
David Crombie,M,80.9,82.5,202.5,145,250,Scotland,11/2/13
Dario Dorizzi,M,80.5,82.5,195,137.5,245,Switzerland,11/2/13
John Carroll,M,81.5,82.5,185,152.5,240,Ireland,11/2/13
Christopher Wong,M,80.7,82.5,200,130,220,Scotland,11/2/13
Grant Sugarman,M,80.3,82.5,180,122.5,230,England,11/2/13
Jay Farrant,M,81.3,82.5,182.5,130,212.5,Ireland,11/2/13
Gareth Kerr,M,82.5,82.5,180,125,210,Germany,11/2/13
Danny Howard,M,82.5,82.5,175,120,215,Ireland,11/2/13
Pascal Mauhorat,M,81.7,82.5,190,115,200,France,11/2/13
Douglas Simpson,M,81,82.5,175,100,205,England,11/2/13
Eoghan Carroll,M,82.3,82.5,145,105,225,Ireland,11/2/13
Francis Spiteri,M,81.5,82.5,145,72.5,165,Malta,11/2/13
John Gallacher #1,M,80.1,82.5,105,70,180.5,England,11/2/13
Roy Scott,M,81.9,82.5,130,60,60,Ireland,11/2/13
Pierre Shillingford,M,89.2,90,240,172.5,280,England,11/2/13
Dan O'Duffy,M,88.5,90,220,142.5,302.5,Ireland,11/2/13
Cyrille Vaillant,M,87.6,90,225,170,242.5,France,11/2/13
Dmytro Gabida,M,88.7,90,225,155,220,Ukraine,11/2/13
Andy Murtagh,M,87.3,90,190,130,272.5,Ireland,11/2/13
Andrew Richardson,M,86.1,90,180,120,260,Ireland,11/2/13
James O'Shea,M,87.2,90,180,130,245,Ireland,11/2/13
Patrick Valfrey,M,87.3,90,182.5,137.5,225,France,11/2/13
David Twomey,M,88.8,90,190,130,220,Ireland,11/2/13
Kevin Kavanagh,M,88.3,90,185,130,220,England,11/2/13
Kevin Kavanagh,M,88.3,90,185,130,220,England,11/2/13
Alex Hughes,M,89.3,90,160,85,170,England,11/2/13
Evgeniy Tverdovskiy,M,90,90,130,90,165,Russia,11/2/13
Martin Theyssens,M,85.1,90,105,85,140,Belgium,11/2/13
Ramon Gysin,M,99.1,100,273.5,160,270,Switzerland,11/2/13
Matthew Gibson,M,97.6,100,252.5,165,262.5,England,11/2/13
Aaron Donaghy,M,98.4,100,210,167.5,272.5,Ireland,11/2/13
Thomas McGovern #2,M,98.3,100,225,135,272.5,Scotland,11/2/13
Ed Baker,M,97.2,100,207.5,120,250,England,11/2/13
Serge Bustreel,M,93.4,100,195,120,245,France,11/2/13
Phil Jones,M,98.9,100,195,120,225,England,11/2/13
Rob Tring,M,95.9,100,172.5,102.5,195,England,11/2/13
Jack Taylor #6,M,96.3,100,165,92.5,202.5,England,11/2/13
Alessandro Queirolo,M,97.2,100,160,115,175,Italy,11/2/13
Conor Beary,M,94.3,100,160,95,180,Ireland,11/2/13
Alistair Murdoch,M,109.1,110,230,222.5,270,England,11/2/13
Iain MacConnachie,M,108.5,110,270,195,255,England,11/2/13
Michael Goodwin,M,103,110,225,172.5,265,England,11/2/13
Kevin Dixon,M,108.5,110,250,152.5,257.5,Canada,11/2/13
Vincent O'Donavan,M,104.1,110,232.5,167.5,252.5,Ireland,11/2/13
Adrian Ninaber,M,109.2,110,220,160,265,Canada,11/2/13
Tom Daly,M,104.4,110,215,140,270,Ireland,11/2/13
Martins Smith,M,107.6,110,200,157.5,270,Scotland,11/2/13
Arthur Cowley,M,100.6,110,220,145,252.5,Scotland,11/2/13
Rafal Rogulski,M,106.3,110,200,155,257.5,Ireland,11/2/13
Steven Lambert,M,107.4,110,210,132.5,260,England,11/2/13
Peter Gaskin,M,109.7,110,180,152.5,245,Scotland,11/2/13
Peter Leitch,M,110,110,200,140,225,UK,11/2/13
Luke Blennershassett,M,108.4,110,200,112.5,230,Ireland,11/2/13
John Gavin Walker,M,100.7,110,185,110,235,England,11/2/13
Ronald Burden,M,101.7,110,150,135,225,England,11/2/13
Matt Sohmer,M,123.2,125,342.5,135,337.5,USA,11/2/13
Jay Hollingsworth,M,122.5,125,272.5,200,320,England,11/2/13
Jay Hollingsworth,M,122.5,125,272.5,200,320,England,11/2/13
James Hickey,M,117.3,125,260,190,335,Ireland,11/2/13
Tom Faherty,M,124.2,125,250,152.5,300,Ireland,11/2/13
Tomas Cuddihy,M,119.3,125,230,150,250,Ireland,11/2/13
Craig Cameron,M,119.5,125,232.5,130,250,Scotland,11/2/13
Leslie Pilling,M,117.5,125,241.5,120,240,England,11/2/13
Eoin O'Leary,M,119.5,125,195,127.5,240,Ireland,11/2/13
Rob Burke,M,122.7,125,200,120,250,Ireland,11/2/13
Ian Thomas,M,120.1,125,100,162.5,100,USA,11/2/13
John O'Dwyer,M,127.1,145,190,155,220,Ireland,11/2/13
Brad Manion,M,147.7,145+,235,177.5,277.5,USA,11/2/13
Steve Soukup,M,60,60,124.74,92.99,142.88,USA,11/13/21
Steve Soukup,M,60,60,124.74,92.99,142.88,USA,11/13/21
Towsif Nasor,M,60,60,102.06,79.38,158.76,USA,11/13/21
Patricia Parker,F,75,75,158.76,102.06,183.7,USA,11/13/21
Rhonda Leverett,F,82.5,82.5,158.76,65.77,179.17,USA,11/13/21
Amy Hansard,F,82.5,82.5,122.47,63.5,147.42,USA,11/13/21
Amy Hansard,F,82.5,82.5,122.47,63.5,147.42,USA,11/13/21
Sean Kearney,M,82.5,82.5,158.76,122.47,170.1,USA,11/13/21
Sean Kearney,M,82.5,82.5,158.76,122.47,170.1,USA,11/13/21
TJ Collins #1,M,125,125,260.82,197.31,317.51,USA,11/13/21
Derek Cochran,M,125,125,226.8,192.78,208.65,USA,11/13/21
Damiyah Smith,F,34.02,34,58.97,29.48,74.84,USA,11/11/16
Denise Herrera,F,48,48,97.52,61.23,115.67,USA,11/11/16
Denise Herrera,F,48,48,97.52,61.23,115.67,USA,11/11/16
Jaime Orola,F,52,52,81.65,47.63,106.59,USA,11/11/16
Alexandra Cacioppo,F,60,60,124.74,68.04,142.88,USA,11/11/16
Caitlin Harrier,F,60,60,81.65,54.43,115.67,USA,11/11/16
Chelsea Nkwodimmah,F,67.5,67.5,145.15,70.31,170.1,USA,11/11/16
Lauren Castiglia,F,67.5,67.5,92.99,61.23,111.13,USA,11/11/16
Kathi Sottosanti,F,67.5,67.5,99.79,54.43,142.88,USA,11/11/16
Jackie Thompson,F,75,75,133.81,70.31,158.76,USA,11/11/16
Lisa Perry #1,F,75,75,88.45,61.23,120.2,USA,11/11/16
Lisa Burke,F,82.5,82.5,140.61,79.38,170.1,USA,11/11/16
Dyan Zbikowski,F,82.5,82.5,129.27,65.77,163.29,USA,11/11/16
Dyan Zbikowski,F,82.5,82.5,129.27,65.77,163.29,USA,11/11/16
Jaclyn Leone,F,,82.5+,140.61,68.04,151.95,USA,11/11/16
Yaly Anziani,F,,82.5+,97.52,56.7,120.2,USA,11/11/16
Angelica Berti,F,67.5,67.5,,54.43,,Brazil,11/11/16
Kelly Rolon,F,75,75,,40.82,,USA,11/11/16
Nolan Harrier,M,56,56,81.65,43.09,92.99,USA,11/11/16
Steve Soukup,M,56,56,147.42,83.91,147.42,USA,11/11/16
Steve Soukup,M,56,56,147.42,83.91,147.42,USA,11/11/16
Romeo Tendencia Jr,M,67.5,67.5,233.6,122.47,238.14,USA,11/11/16
Romeo Tendencia Jr,M,67.5,67.5,233.6,122.47,238.14,USA,11/11/16
Bryan Newman,M,67.5,67.5,136.08,81.65,147.42,USA,11/11/16
Ernesto Roldan,M,67.5,67.5,163.29,88.45,185.97,USA,11/11/16
Evan Pittman,M,67.5,67.5,179.17,106.59,219.99,USA,11/11/16
Evan Pittman,M,67.5,67.5,179.17,106.59,219.99,USA,11/11/16
Phil DiFrancisco,M,67.5,67.5,188.24,113.4,61.23,USA,11/11/16
Mesiyah Polycarpe,M,67.5,67.5,215.46,129.27,226.8,USA,11/11/16
Michiah Lenzi,M,67.5,67.5,58.97,31.75,70.31,USA,11/11/16
Brian Altamirano,M,75,75,176.9,115.67,229.06,USA,11/11/16
Tom Conway,M,75,75,138.35,74.84,197.31,USA,11/11/16
Daelon Williams,M,75,75,133.81,127.01,192.78,USA,11/11/16
Matt Hanlon,M,75,75,161.03,117.93,240.4,USA,11/11/16
Anthony Marino,M,75,75,192.78,111.13,183.7,USA,11/11/16
Wayne Cook,M,75,75,167.83,95.25,190.51,USA,11/11/16
Anthony Critelli,M,75,75,86.18,97.52,138.35,USA,11/11/16
Joey Lipscomb,M,75,75,170.1,129.27,231.33,USA,11/11/16
Jerry Dickerson,M,82.5,82.5,136.08,106.59,154.22,USA,11/11/16
Jerry Dickerson,M,82.5,82.5,136.08,106.59,154.22,USA,11/11/16
Daryl Duncan,M,82.5,82.5,201.85,185.97,256.28,USA,11/11/16
Daryl Duncan,M,82.5,82.5,201.85,185.97,256.28,USA,11/11/16
Daryl Duncan,M,82.5,82.5,201.85,185.97,256.28,USA,11/11/16
Noah Gomez,M,82.5,82.5,226.8,165.56,256.28,USA,11/11/16
Lee Lyons,M,82.5,82.5,161.03,129.27,210.92,USA,11/11/16
Michael Petschnik,M,90,90,201.85,129.27,210.92,USA,11/11/16
Vince Wood,M,90,90,188.24,115.67,206.38,USA,11/11/16
Vince Wood,M,90,90,188.24,115.67,206.38,USA,11/11/16
Emery Longan,M,90,90,206.38,131.54,247.21,USA,11/11/16
Peter Catina,M,90,90,181.44,102.06,158.76,USA,11/11/16
Dan Mandell Jr,M,90,90,174.63,97.52,204.12,USA,11/11/16
Vince Durocher,M,90,90,188.24,129.27,217.72,Canada,11/11/16
Joe Martorina,M,100,100,199.58,151.95,206.38,USA,11/11/16
Tom Crego Jr,M,100,100,204.12,154.22,215.46,USA,11/11/16
Jim Waldron,M,100,100,235.87,188.24,229.06,USA,11/11/16
Eddie Washington,M,100,100,106.59,133.81,136.08,USA,11/11/16
David Lhota,M,100,100,181.44,133.81,197.31,USA,11/11/16
Bob Hanington,M,100,100,192.78,111.13,204.12,Chile,11/11/16
D'Andre Gillis,M,100,100,226.8,165.56,219.99,USA,11/11/16
Garmez Parks,M,110,110,238.14,163.29,249.48,USA,11/11/16
Rob Landolina,M,110,110,251.74,154.22,294.84,USA,11/11/16
Eric Spisak,M,110,110,238.14,142.88,235.87,USA,11/11/16
Dan Caffrey,M,110,110,181.44,124.74,185.97,USA,11/11/16
James Maguire,M,110,110,127.01,102.06,163.29,USA,11/11/16
Rob Landolina,M,110,110,251.74,154.22,294.84,USA,11/11/16
Rob Landolina,M,110,110,251.74,154.22,294.84,USA,11/11/16
Jordan Young,M,110,110,249.48,158.76,278.96,USA,11/11/16
Tom Harrier,M,125,125,142.88,179.17,124.74,USA,11/11/16
Washington Silva,M,125,125,299.37,231.33,269.89,Brazil,11/11/16
Thomas Baldwin,M,125,125,206.38,131.54,263.08,USA,11/11/16
Barry Bostick,M,125,125,285.76,192.78,324.32,USA,11/11/16
Mike Lenzi,M,125,125,174.63,120.2,192.78,USA,11/11/16
George Anderson #2,M,140,140,306.17,124.74,294.84,USA,11/11/16
Lamar Boyd,M,140,140,265.35,158.76,256.28,USA,11/11/16
Lamar Boyd,M,140,140,265.35,158.76,256.28,USA,11/11/16
Brian Bonder,M,,140+,226.8,138.35,197.31,USA,11/11/16
John Jackson #4,M,,140+,240.4,210.92,265.35,USA,11/11/16
Tiny Richardson,M,,140+,240.4,210.92,274.42,USA,11/11/16
Tiny Richardson,M,,140+,240.4,210.92,274.42,USA,11/11/16
Jauon Mejias,M,,140+,,185.97,,USA,11/11/16
Pedro Mejias,M,,140+,,263.08,,USA,11/11/16
Bryce Maynard,M,75,75,,47.63,79.38,USA,11/11/16
Vincent Pachuta,M,82.5,82.5,,161.03,265.35,USA,11/11/16
Michael Yogg,M,90,90,,120.2,215.46,USA,11/11/16
Dominic Salvini,M,110,110,,52.16,108.86,USA,11/11/16
Dennis Rolon,M,125,125,,181.44,258.55,USA,11/11/16
Josh Bush #1,M,125,125,,192.78,319.78,USA,11/11/16
LaToya Atterberry,F,,82.5+,172.37,88.45,163.29,USA,11/11/17
Jennifer Nash,F,82.5,82.5,,86.18,165.56,USA,11/11/17
Steve Soukup,M,60,60,138.35,90.72,138.35,USA,11/11/17
Steve Soukup,M,60,60,138.35,90.72,138.35,USA,11/11/17
Jule Dolci III,M,67.5,67.5,138.35,79.38,158.76,USA,11/11/17
A. Perez,M,75,75,219.99,142.88,251.74,France,11/11/17
Greg Covello,M,75,75,113.4,104.33,172.37,USA,11/11/17
G. Williamson,M,90,90,204.12,140.61,222.26,USA,11/11/17
Les Cramer,M,90,90,129.27,61.24,122.47,USA,11/11/17
Ross Van Der Bosch,M,100,100,265.35,138.35,312.98,USA,11/11/17
Tom Crego Jr,M,98.43,100,226.8,156.49,238.14,USA,11/11/17
Mark Williams #3,M,100,100,183.71,165.56,195.04,USA,11/11/17
Eddie Washington,M,110,110,151.95,120.2,156.49,USA,11/11/17
Michael Francis,M,125,125,385.55,181.44,306.18,USA,11/11/17
Cedric A. Smith,M,125,125,235.87,154.22,235.87,USA,11/11/17
Michael Francis,M,125,125,385.55,181.44,306.18,USA,11/11/17
Larry Bucchioni,M,125,125,161.03,106.59,206.38,USA,11/11/17
Nodar Tatishvili,M,140,140,260.82,192.78,278.96,Georgia,11/11/17
Jule Dolci III,M,67.5,67.5,,79.38,158.76,USA,11/11/17
Eric Chaney,M,90,90,,163.29,229.06,USA,11/11/17
Larry Bucchioni,M,125,125,,106.59,206.38,USA,11/11/17
Sarah Welcheck,F,52,52,95.25,40.82,106.59,USA,6/28/08
Michelle Borzok,F,67.5,67.5,204.12,165.56,183.7,USA,6/28/08
Brooke Fineis,F,75,75,238.14,158.76,192.78,USA,6/28/08
Larry Dyles,M,75,75,226.8,165.56,238.14,USA,6/28/08
Vadym Kotsaga,M,82.5,82.5,174.63,131.54,210.92,Ukraine,6/28/08
John Rooney #1,M,125,125,272.16,199.58,267.62,USA,6/28/08
Steve Shanebrook,M,82.5,82.5,258.55,167.83,195.04,USA,6/28/08
David Oyler,M,140,140,299.37,188.24,254.01,USA,6/28/08
John Mattei,M,125,125,272.16,181.44,240.4,USA,6/28/08
Mike Yontz,M,90,90,260.82,192.78,265.35,USA,6/28/08
Dan Blankenship,M,100,100,362.87,61.23,306.17,USA,6/28/08
Dave Hoff #1,M,125,125,419.57,328.85,340.19,USA,6/28/08
Vadym Kotsaga,M,82.5,82.5,174.63,131.54,210.92,Ukraine,6/28/08
Fred Glass,M,67.5,67.5,181.44,61.23,165.56,USA,6/28/08
Anika Harper,F,87.45,90,167.83,56.7,174.63,USA,9/22/18
Jennifer Arnold,F,119.39,90+,136.08,68.04,140.61,Canada,9/22/18
Jennifer Arnold,F,119.39,90+,136.08,68.04,140.61,Canada,9/22/18
Melissa Byrd Smith,F,59.33,60,127.01,52.16,145.15,USA,9/22/18
Amanda Wolff,F,73.21,75,181.44,113.4,205.25,USA,9/22/18
Melissa Byrd Smith,F,59.33,60,127.01,52.16,145.15,USA,9/22/18
Nicholas Swan,M,74.66,75,167.83,115.67,183.7,USA,9/22/18
Hunter Robertson,M,104.6,110,185.97,113.4,206.38,USA,9/22/18
Joseph Haywood,M,118.93,125,229.06,113.4,226.8,USA,9/22/18
Mick Loyd,M,99.43,100,165.56,83.91,142.88,USA,9/22/18
Allen Powell,M,79.38,82.5,215.46,156.49,215.46,USA,9/22/18
Jeff Guller,M,87.82,90,174.63,74.84,136.08,USA,9/22/18
Jordan Richardson,M,99.61,100,283.5,136.08,260.82,USA,9/22/18
Matthew Betancourt,M,122.74,125,265.35,176.9,265.35,USA,9/22/18
Brandon Snowder,M,88.72,90,299.37,206.38,294.84,USA,9/22/18
Jordan Fender,M,84.19,90,272.16,165.56,288.03,USA,9/22/18
Rob Forell,M,88.81,90,249.48,195.04,272.16,USA,9/22/18
Travis Rinnert,M,123.01,125,226.8,172.37,244.94,USA,9/22/18
Jeff Clabo,M,136.44,140,376.48,165.56,288.03,USA,9/22/18
Rob Forell,M,88.81,90,249.48,195.04,272.16,USA,9/22/18
Travis Rinnert,M,123.01,125,226.8,172.37,244.94,USA,9/22/18
David Jenkinson,M,109.32,110,464.93,335.66,403.7,USA,9/22/18
Bryan Gaston,M,108.05,110,326.59,197.31,317.51,USA,9/22/18
Jonathan Mathes,M,115.94,125,351.53,219.99,276.69,USA,9/22/18
Bryan Gaston,M,108.05,110,326.59,197.31,317.51,USA,9/22/18
Michael Matlock,M,108.14,110,353.8,242.67,238.14,USA,9/22/18
Scott Alford,M,74.96,75,226.8,165.56,247.21,USA,9/22/18
Sarah Welcheck,F,52,52,106.59,52.16,92.99,USA,6/27/09
Beth Poplin,F,60,60,113.4,90.72,124.74,USA,6/27/09
Brooke Fineis,F,75,75,258.55,151.95,183.7,USA,6/27/09
Brian Bott,M,90,90,328.85,199.58,258.55,USA,6/27/09
Brendan Benner,M,90,90,192.78,156.49,201.85,USA,6/27/09
John Mattei,M,125,125,317.51,213.19,272.16,USA,6/27/09
Vasyl' Khoroschak,M,82.5,82.5,222.26,176.9,254.01,Ukraine,6/27/09
Larry Dyles,M,75,75,231.33,163.29,226.8,USA,6/27/09
Vadym Kotsaga,M,82.5,82.5,201.85,140.61,210.92,Ukraine,6/27/09
Joe Sauble,M,125,125,229.06,183.7,251.74,USA,6/27/09
Danny Diemert,M,90,90,299.37,195.04,260.82,USA,6/27/09
James Howell #1,M,100,100,322.05,192.78,283.5,USA,6/27/09
James Howell #1,M,100,100,322.05,192.78,283.5,USA,6/27/09
Jeff King,M,125,125,308.44,158.76,226.8,USA,6/27/09
John Mattei,M,125,125,317.51,213.19,272.16,USA,6/27/09
John Varrone,M,82.5,82.5,247.21,81.65,238.14,USA,6/27/09
Fred Glass,M,67.5,67.5,170.1,61.23,174.63,USA,6/27/09
Vadym Kotsaga,M,82.5,82.5,201.85,140.61,210.92,Ukraine,6/27/09
Nelson Snyder,M,90,90,254.01,185.97,258.55,USA,6/27/09
Michael Swierczynski,M,110,110,229.06,167.83,254.01,USA,6/27/09
Michael Swierczynski,M,110,110,229.06,167.83,254.01,USA,6/27/09
Dan Petrillo,M,82.5,82.5,362.87,240.4,303.91,USA,6/27/09
Mark VanAlstyne,M,82.5,82.5,335.66,247.21,247.21,USA,6/27/09
Dave Hoff #1,M,125,125,449.06,358.34,360.61,USA,6/27/09
Greg Panora,M,125,125,453.59,371.95,340.19,USA,6/27/09
AJ Roberts,M,140,140,435.45,317.51,344.73,USA,6/27/09
Tony Bolognone,M,,140+,487.61,390.09,347,USA,6/27/09
Cheryl Clodfelter,F,90,90,249.48,129.27,242.67,USA,6/27/09
Kasia Sweeny,F,65.09,67.5,113.4,54.43,113.4,USA,10/12/19
Nickie Detomasi,F,70.31,75,131.54,86.18,142.88,USA,10/12/19
Katy Silvers,F,119.29,90+,129.27,68.04,147.42,USA,10/12/19
Katy Silvers,F,119.29,90+,129.27,68.04,147.42,USA,10/12/19
Lisa Baker #2,F,53.16,56,86.18,40.82,102.06,USA,10/12/19
Summer Duba,F,49.21,52,86.18,63.5,124.74,USA,10/12/19
Rachel Parker #2,F,59.65,60,102.06,61.23,142.88,USA,10/12/19
Tara Duba,F,62.14,67.5,131.54,70.31,136.08,USA,10/12/19
Melissa Smith #1,F,64.41,67.5,181.44,45.36,158.76,USA,10/12/19
Melissa Smith #1,F,64.41,67.5,181.44,45.36,158.76,USA,10/12/19
Brady Duba,M,33.79,52,52.16,27.22,61.23,USA,10/12/19
Hunter Robertson,M,106.82,110,226.8,115.67,201.85,USA,10/12/19
Parker Blackwell,M,58.51,60,113.4,83.91,145.15,USA,10/12/19
Michael Joyner,M,85.37,90,129.27,102.06,181.44,USA,10/12/19
George Shelby,M,73.71,75,158.76,102.06,181.44,USA,10/12/19
Andy Butterfield,M,84.59,90,151.95,102.06,215.46,USA,10/12/19
Jeff Guller,M,87.09,90,174.63,70.31,124.74,USA,10/12/19
Cameron Moss,M,124.74,125,340.19,226.8,340.19,USA,10/12/19
Tyler Goins,M,81.83,82.5,317.51,163.29,265.35,USA,10/12/19
Stephen Dye,M,88.27,90,265.35,185.97,278.96,USA,10/12/19
Brandon Snowder,M,94.35,100,308.44,217.72,272.16,USA,10/12/19
Eric Knytych,M,99.79,100,299.37,172.37,299.37,USA,10/12/19
Ryan Lewis,M,97.3,100,249.48,190.51,308.44,USA,10/12/19
Logan Long,M,110.45,125,292.57,195.04,301.64,USA,10/12/19
Tyler Frost,M,116.12,125,251.74,142.88,306.17,USA,10/12/19
Tyler Frost,M,116.12,125,251.74,142.88,306.17,USA,10/12/19
Thomas LaRocco,M,80.97,82.5,201.85,138.35,224.53,USA,10/12/19
Michael Morgan,M,89.36,90,190.51,122.47,249.48,USA,10/12/19
Brian Barger,M,99.34,100,290.3,188.24,308.44,USA,10/12/19
Travis Rinnert,M,122.47,125,235.87,174.63,244.94,USA,10/12/19
Jesse Lafrenier,M,152.41,140+,229.06,124.74,226.8,USA,10/12/19
Thomas LaRocco,M,80.97,82.5,201.85,138.35,224.53,USA,10/12/19
Colby Alford,M,99.06,100,408.23,244.94,299.37,USA,10/12/19
Tory Pelzer,M,133.13,140,498.95,365.14,317.51,USA,10/12/19
Bryan Strevel,M,125.19,140,385.55,272.16,310.71,USA,10/12/19
Jake West,M,129.27,140,306.17,233.6,283.5,USA,10/12/19
Joey Smith #1,M,141.29,140+,421.84,272.16,281.23,USA,10/12/19
Jean-Michael David,M,72.89,75,170,135,200,Canada,4/29/17
Nathan Brown,M,66.5,67.5,195,87.5,235,USA,4/29/17
Patrick Stadler,M,80.69,82.5,195,155,200,Canada,4/29/17
Zach Morrow #2,M,105.91,110,265,180,282.5,Canada,4/29/17
