c,Sex,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Country,Date
Mehdi Baharzadeh,M,65.8,67.5,175,110,200,Iran,9/19/02
Ondřej Lusk,M,66.5,67.5,95,55,120,Czechia,9/19/02
Jeff Lee,M,67.9,75,105,85,155,USA,9/19/02
Jude Okafor Oshanugor,M,73.7,75,90,80,160,Nigeria,9/19/02
Michal Rokůsek,M,73.7,75,115,57.5,142.5,Czechia,9/19/02
Serguei Chatalov,M,81.7,82.5,240,145,245,Russia,9/19/02
Vassili Bogatchov,M,88.3,90,162.5,132.5,215,Russia,9/19/02
Adam Bury,M,84.1,90,145,105,170,Canada,9/19/02
Oldřich Šmejcký,M,93.3,100,130,110,200,Czechia,9/19/02
Tim Ekert,M,106.7,110,205,177.5,227.5,Canada,9/19/02
Candy Loukprasong,F,33.2,44,42.5,25,65,USA,9/19/02
Petra Duskova,F,55.5,56,60,45,85,Czechia,9/19/02
Edie Jones,F,51.8,52,80,55,97.5,USA,9/19/02
Radka Houšková,F,66.7,67.5,80,45,100,Czechia,9/19/02
Trisha Ellingsworth,F,64.9,67.5,75,37.5,100,USA,9/19/02
Jaroslava Dvorakova,F,63.5,67.5,35,20,60,Czechia,9/19/02
Sergei Mikhalev,M,98.3,100,295,185,261,Russia,11/7/09
Seyed Aboulfazil Mosavi,M,132.6,125+,280,180,240,Iran,11/7/09
Patrick Donelan,M,93.5,100,180,110,210,USA,11/7/09
Jamshid Mirshekari,M,99.5,100,305,185,235,Iran,11/7/09
Carlos Green,M,121.4,125,282.5,187.5,292.5,Trinidad and Tobago,11/7/09
François Gagné,M,108.9,110,262.5,215,252.5,Canada,11/7/09
Cody Calchoda,M,102.2,110,227.5,160,227.5,USA,11/7/09
Barrios Cruz,M,87.9,90,205,145,202.5,Venezuela,11/7/09
Angel Rojas,M,80,82.5,205,130,185,Venezuela,11/7/09
Tom Monroe,M,122.7,125,130,92.5,182.5,USA,11/7/09
Igor Baskakov,M,89,90,280,187.5,250,Russia,11/7/09
Sergey Shatalov,M,88.1,90,277.5,190,245,Russia,11/7/09
Barrios Cruz,M,87.9,90,205,145,202.5,Venezuela,11/7/09
Sergei Mikhalev,M,98.3,100,295,185,261,Russia,11/7/09
Jamshid Mirshekari,M,99.5,100,305,185,235,Iran,11/7/09
Roland Mitterlehner,M,99.3,100,260,197.5,260,Austria,11/7/09
Steve Peña #1,M,98.1,100,215,207.5,215,USA,11/7/09
Patrick Donelan,M,93.5,100,180,110,210,USA,11/7/09
Vitaly Mayer,M,108,110,300,240,260,Russia,11/7/09
Rohan Ahmadi,M,107.9,110,312.5,207.5,255,Iran,11/7/09
François Gagné,M,108.9,110,262.5,215,252.5,Canada,11/7/09
Cody Calchoda,M,102.2,110,227.5,160,227.5,USA,11/7/09
Carlos Green,M,121.4,125,282.5,187.5,292.5,Trinidad and Tobago,11/7/09
